"apk","compName","uniqueCrashCount"
"ch.hgdev.toposuite_1.0.3_56.apk","ch.hgdev.toposuite.points.PointsManagerActivity",1
"com.csipsimple_0.04-01_1841.apk","com.csipsimple.ui.incall.InCallActivity",2
"com.csipsimple_0.04-01_1841.apk","com.csipsimple.ui.outgoingcall.OutgoingCallChooser",1
"com.etesync.syncadapter_1.4.6_71.apk","at.bitfire.cert4android.TrustCertificateActivity",2
"com.etesync.syncadapter_1.4.6_71.apk","com.etesync.syncadapter.ui.DebugInfoActivity",2
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.ClockWidget0ConfigActivity",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.ClockWidget0ConfigActivity_3x1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.MoonWidget0ConfigActivity",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.MoonWidget0ConfigActivity_2x1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.MoonWidget0ConfigActivity_3x1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SolsticeWidget0ConfigActivity",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesActivity",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity0",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity0_2x1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity2",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity2_3x1",1
"com.forrestguice.suntimeswidget_0.11.3_44.apk","com.forrestguice.suntimeswidget.SuntimesConfigActivity2_3x2",1
"com.fsck.k9_5.600_26000.apk","com.fsck.k9.activity.LauncherShortcuts",1
"com.fsck.k9_5.600_26000.apk","com.fsck.k9.activity.MessageList",3
"com.ichi2.anki_2.8.4_20804300.apk","com.ichi2.anki.IntentHandler",2
"com.ichi2.anki_2.8.4_20804300.apk","com.ichi2.anki.NoteEditor",3
"com.ichi2.anki_2.8.4_20804300.apk","com.ichi2.anki.Reviewer",1
"com.mikifus.padland_1.5_20.apk","com.mikifus.padland.PadListActivity",5
"com.mikifus.padland_1.5_20.apk","com.mikifus.padland.PadViewActivity",4
"com.nutomic.syncthingandroid_1.2.0_4180.apk","com.nutomic.syncthingandroid.activities.ShareActivity",3
"de.danoeh.antennapod_1.7.1_1070195.apk","de.danoeh.antennapod.activity.FlattrAuthActivity",1
"de.danoeh.antennapod_1.7.1_1070195.apk","de.danoeh.antennapod.activity.OnlineFeedViewActivity",2
"dev.ukanth.ufirewall_3.1.0_17111.apk","dev.ukanth.ufirewall.plugin.LocaleEdit",1
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.bus.ListArret",1
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.timeo.TimeoActivity",2
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.widgets.TransportsWidget11Configure",1
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.widgets.TransportsWidget21Configure",1
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.widgets.TransportsWidgetConfigure",1
"fr.ybo.transportsrennes_3.8.4_384.apk","fr.ybo.transportsrennes.activity.widgets.TransportsWidgetLowResConfigure",1
