"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 11"
"Maximum number of values per parameter: 7"
"Number of configurations: 50"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_MFRWGX3JMQ_NRXW4ZY","path","scheme","type"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","1","$#NULL#$","tel","$#NULL#$"
"android.intent.action.SENDTO","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","0","$#NULL#$","imto","$#EMPTY#$"
"android.intent.action.CALL","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#NULL#$","csip","$#NULL#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NULL#$","0","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#NULL#$","smsto","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.CALL","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.CALL","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","0","$#NULL#$","tel","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.CALL","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.CALL","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","0","$#NULL#$","imto","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","0","$#NULL#$","csip","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#EMPTY#$","0","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","0","$#NULL#$","smsto","$#NULL#$"
"android.intent.action.CALL","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","tel","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.CALL","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
