"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 20"
"Maximum number of values per parameter: 7"
"Number of configurations: 173"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZZGS3THORXW4ZJOKBEUGS2FIRPVKUSJ_KBQXEY3FNRQWE3DF","extra_0_1_ONSWYZLDORSWIQLMMFZG2_KNSXE2LBNRUXUYLCNRSQ","extra_0_2_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXE2SKOKVKEKUY_NFXHI","extra_0_3_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXEQT2VKI_NFXHI","extra_0_4_ONXWYYLSMV3GK3TU_KN2HE2LOM4","extra_0_5_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXE2RKTKNAUORI_KN2HE2LOM4","extra_0_6_ONUG652CMFRWW_MJXW63DFMFXA","extra_0_7_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXFESKOI5KE6TSF_KN2HE2LOM4","extra_0_8_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXFMSKCKJAVIRI_MJXW63DFMFXA","extra_0_9_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZQWYYLSNUXEIQKZKM_JFXHIZLHMVZEC4TSMF4UY2LTOQ","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","1","$#NULL#$","$#NULL#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","0","0","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","true","$#NOTEMPTY_NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","1","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","true","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","0","$#NOTEMPTY#$","$#EMPTY#$","false","$#NULL#$","false","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.SET_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"suntimeswidget.alarm.delete","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","0","$#NOTEMPTY#$","$#NULL#$","false","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_ALARM","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.forrestguice.suntimeswidget.alarmclock.ADD_NOTIFICATION","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","0","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","1","$#EMPTY#$","$#NOTEMPTY#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","1","$#NULL#$","$#EMPTY#$","false","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
