"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 11"
"Maximum number of values per parameter: 3"
"Number of configurations: 12"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ON2GC4TUOVYA_MJXW63DFMFXA","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"importSettings","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#NULL#$","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"importSettings","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"importSettings","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"importSettings","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
