"ACTS Test Suite Generation: Wed Dec 28 18:44:26 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 21"
"Maximum number of values per parameter: 5"
"Number of configurations: 126"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_11_OF2WK4TZ_KN2HE2LOM4","extra_0_1_NZXV65DIOJSWCZDJNZTQ_MJXW63DFMFXA","extra_0_2_ONYGKY3JMFWF6ZTPNRSGK4Q_KN2HE2LOM4","extra_0_3_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZZWQ33SORRXK5BOJFHFIRKOKQ_KBQXEY3FNRQWE3DF","extra_0_4_ONSWC4TDNBPWE6LUMVZQ_MJ4XIZKBOJZGC6I","extra_0_5_NVSXG43BM5SV64TFMZSXEZLOMNSQ_KN2HE2LOM4","extra_0_6_MZXWYZDFOI_KN2HE2LOM4","extra_0_7_MFRWG33VNZ2A_KN2HE2LOM4","extra_0_8_MFYHAX3EMF2GC_IJ2W4ZDMMU","extra_8_10_MNXW2LTGONRWWLTLHEXHGZLBOJRWQX3BMNRW65LOOQ_KN2HE2LOM4","extra_8_9_MNXW2LTGONRWWLTLHEXHGZLBOJRWQX3GN5WGIZLS_KN2HE2LOM4","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"shortcut","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","33::::","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"shortcut","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","33::::","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
