"ACTS Test Suite Generation: Wed Dec 28 18:44:27 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 11"
"Maximum number of values per parameter: 5"
"Number of configurations: 62"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","category_MFXGI4TPNFSC42LOORSW45BOMNQXIZLHN5ZHSLSMIFKU4Q2IIVJA","data","extra","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","application/apkg"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","true","true","true","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","content","$#NOTEMPTY#$"
"android.intent.action.VIEW","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","file","$#NULL#$"
"android.intent.action.MAIN","$#NULL#$","$#NOTEMPTY#$","false","true","true","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","true","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","false","true","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.MAIN","$#EMPTY#$","$#NOTEMPTY#$","true","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","true","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","false","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.MAIN","$#EMPTY#$","$#NOTEMPTY#$","true","false","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","false","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","true","false","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"android.intent.action.MAIN","$#EMPTY#$","$#NOTEMPTY#$","true","true","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","application/apkg"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","false","true","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.MAIN","$#EMPTY#$","$#NOTEMPTY#$","false","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"$#NULL#$","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","true","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","content","$#NULL#$"
"com.ichi2.anki.DO_SYNC","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","true","true","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","content","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","file","$#EMPTY#$"
"com.ichi2.anki.DO_SYNC","$#NULL#$","$#NOTEMPTY#$","false","false","true","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#NULL#$","$#NOTEMPTY#$","false","true","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","content","$#EMPTY#$"
"android.intent.action.MAIN","$#NULL#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","file","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","application/apkg"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","file","application/apkg"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","application/apkg"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","content","application/apkg"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","file","$#NOTEMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","false","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.MAIN","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","content","$#EMPTY#$"
"com.ichi2.anki.DO_SYNC","$#EMPTY#$","$#NOTEMPTY#$","false","true","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","file","$#NOTEMPTY#$"
