"ACTS Test Suite Generation: Wed Dec 28 18:44:27 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 20"
"Maximum number of values per parameter: 7"
"Number of configurations: 45"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_KRAVER2FKRPVIRKYKQ_KN2HE2LOM4","extra_0_1_INAUYTCFKI_NFXHI","extra_0_2_INAVERC7JFCA_NRXW4ZY","extra_0_3_INHU4VCFJZKFG_KN2HE2LOM4","extra_0_4_MVSGS5BOMZUWK3DEFZZGK43VNR2C4ZTJMVWGI_KN2HE2LOM4","extra_0_5_KNHVKUSDIVPVIRKYKQ_KN2HE2LOM4","extra_0_6_MVSGS5BOMZUWK3DEFZZGK43VNR2C4ZTJMVWGILTJNZSGK6A_NFXHI","extra_0_7_JFCA_KN2HE2LOM4","extra_0_8_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZJVKQSKIVBVI_KN2HE2LOM4","extra_0_9_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZKEKWCU_KN2HE2LOM4","path","scheme","type"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","11","1","$#EMPTY#$","$#NULL#$","$#NULL#$","1","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"org.openintents.action.CREATE_FLASHCARD","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","1","0","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","3","0","","$#EMPTY#$","$#NOTEMPTY#$","1","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","6","1","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","7","0","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","8","0","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","11","0","","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","11","0","","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NULL#$","$#EMPTY#$","11","0","","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"org.openintents.action.CREATE_FLASHCARD","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#EMPTY#$","11","0","","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","11","0","","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
