"ACTS Test Suite Generation: Wed Dec 28 18:44:27 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 14"
"Maximum number of values per parameter: 5"
"Number of configurations: 22"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZKEKWCU_KN2HE2LOM4","extra_0_2_MFRXI2LPNY_KN2HE2LOM4","extra_0_3_MZXWG5LTL5YGCZA_NRXW4ZY","extra_0_4_OBQWIX3JMQ_KN2HE2LOM5AXE4TBPFGGS43U","path","scheme","type"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0L","$#NULL#$","$#EMPTY#$","$#EMPTY#$","text/plain"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","delete","0","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","1","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","0L","$#NOTEMPTY_EMPTY#$","$#EMPTY#$","$#EMPTY#$","text/plain"
"android.intent.action.SEND","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","text/plain"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","1","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","0","$#NOTEMPTY_NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
