"ACTS Test Suite Generation: Wed Dec 28 18:44:27 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 13"
"Maximum number of values per parameter: 4"
"Number of configurations: 20"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZJVIUSFIFGQ_KBQXEY3FNRQWE3DFIFZHEYLZJRUXG5A","extra_0_2_MNXW2LTOOV2G63LJMMXHG6LOMN2GQ2LOM5QW4ZDSN5UWILTBMN2GS5TJORUWK4ZOIZXWYZDFOJIGSY3LMVZECY3UNF3GS5DZFZJEKU2VJRKF6RCJKJCUGVCPKJMQ_KN2HE2LOM4","extra_0_3_MNXW2LTOOV2G63LJMMXHG6LOMN2GQ2LOM4WWC3TEOJXWSZBOKN4W4Y3UNBUW4Z2BMN2GS5TJOR4S4S2FLFPUORKOIVJECVCJJ5HF6SKOL5IFET2HKJCVGUY_MJXW63DFMFXA","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY_NULL#$","$#NULL#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY_NOTEMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","true","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY_NULL#$","$#NOTEMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY_NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY_NULL#$","$#NULL#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY_NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
