"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 13"
"Maximum number of values per parameter: 5"
"Number of configurations: 45"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_L5UWI_NRXW4ZY","extra_0_2_JZAU2RI_KN2HE2LOM4","extra_0_3_OF2WK4TZ_KN2HE2LOM4","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","1","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","content","$#EMPTY#$"
"android.intent.action.SEARCH","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","file","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","content","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","file","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","content","$#EMPTY#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","file","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","content","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","1","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","1","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","0","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.VIEW","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","1","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","1","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","0","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","0","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEARCH","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","file","$#EMPTY#$"
"nl.sogeti.android.gpstracker.intent.action.NOTIFY_DATA_SET_CHANGED","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.SEARCH","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","1","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.intent.action.VIEW","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$","file","$#NULL#$"
