"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 38"
"Maximum number of values per parameter: 7"
"Number of configurations: 135"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_OJQW42Y_KN2HE2LOM4","extra_0_11_NFSF65LSNQ_KN2HE2LOM4","extra_0_12_NRQXI2LUOVSGK_MRXXKYTMMU","extra_0_13_ONSXIX3EMVTGC5LMORPXA2DPORXV62LOMRSXQ_NFXHI","extra_0_14_MFRWG5LSMFRXS_MRXXKYTMMU","extra_0_15_N5RHGZLSOZQXI2LPNZPXA4TPNJSWG5A_NFXHI","extra_0_16_NZSXOIDDN5WS4YLEN5RGKLTYNVYC44DSN5YGK4TUNFSXGLSYJVIFA4TPOBSXE5DZJFXGM3Y_KN2HE2LOM4","extra_0_17_ORQXQ33OL5XGC3LF_KN2HE2LOM4","extra_0_18_OBUG65DPKVZGS_KN2HE2LOM4","extra_0_19_NFRW63TJMNPXIYLYN5XF63TBNVSQ_KN2HE2LOM4","extra_0_1_ONYGKY3JMVZV6Z3VMVZXG_KN2HE2LOM4","extra_0_20_MRSWYZLUMVPXA2DPORXV62LOMRSXQ_NFXHI","extra_0_21_ORQXQ33OL5UWI_NFXHI","extra_0_22_OJQW4227NRSXMZLM_NFXHI","extra_0_23_NFSF63TBNVSQ_KN2HE2LOM4","extra_0_24_NFZV6Y3VON2G63I_MJXW63DFMFXA","extra_0_25_NRXW4Z3JOR2WIZI_MRXXKYTMMU","extra_0_26_NFZV643IMFZGKZC7N5XF6YLQOA_MJXW63DFMFXA","extra_0_27_OBZG62TFMN2F62LEOM_JFXHIZLHMVZEC4TSMF4UY2LTOQ","extra_0_28_ORQXQ33OL5ZGK43VNR2A_KNSXE2LBNRUXUYLCNRSQ","extra_0_2_MNUG633TMVPXA2DPORXQ_MJXW63DFMFXA","extra_0_3_ORQWWZK7OBUG65DP_MJXW63DFMFXA","extra_0_4_N5RHGZLSOZQXI2LPNZPWU43PNY_KN2HE2LOM4","extra_0_5_OJSXI5LSNZPXI327N5RHGZLSOZQXI2LPNZPWY2LTOQ_MJXW63DFMFXA","extra_0_6_OBZG62TFMN2F6ZTJMVWGI4Y_KNSXE2LBNRUXUYLCNRSQ","extra_0_7_MZZG63K7ON2WOZ3FON2GS33O_MJXW63DFMFXA","extra_0_8_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZJVIUSFIFGQ_KBQXEY3FNRQWE3DFIFZHEYLZJRUXG5A","extra_0_9_MZUWK3DEL5UWI_NFXHI","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","1","1","1","1","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","1","1","1","$#NULL#$","false","1","false","$#NULL#$","$#NOTEMPTY#$","false","false","$#NULL#$","false","$#NOTEMPTY#$","false","$#NOTEMPTY_NULL#$","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","0","0","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","0","$#NOTEMPTY#$","true","0","true","$#NOTEMPTY_NULL#$","$#NULL#$","true","true","$#NOTEMPTY#$","true","$#NULL#$","true","$#NOTEMPTY_NOTEMPTY#$","0","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","0","1","0","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","1","1","0","$#EMPTY#$","true","0","false","$#NOTEMPTY_NOTEMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","true","$#NOTEMPTY#$","false","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","0","0","1","0","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","0","0","$#NULL#$","false","1","false","$#NOTEMPTY_EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","false","$#NULL#$","false","$#NOTEMPTY_NOTEMPTY#$","1","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.EDIT","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.INSERT","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.EDIT","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.EDIT","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.INSERT","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","0","0","0","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","0","0","0","$#EMPTY#$","true","0","true","$#EMPTY#$","$#NULL#$","true","true","$#EMPTY#$","true","$#NULL#$","true","$#NULL#$","0","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
