"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 26"
"Maximum number of values per parameter: 10"
"Number of configurations: 12"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_MZUXE43UL5ZXS3TD_MJXW63DFMFXA","extra_0_11_NZSXOIDDN5WS4YLEN5RGKLTYNVYC44DSN5YGK4TUNFSXGLSYJVIFA4TPOBSXE5DZJFXGM3Y_KN2HE2LOM4","extra_0_12_ONYGKY3JMVZV6Y3POVXHIX3SMVZXK3DU_KNSXE2LBNRUXUYLCNRSQ","extra_0_13_OVZWK4TOMFWWK_KN2HE2LOM4","extra_0_14_N5RHGZLSOZQXI2LPNZZQ_KNSXE2LBNRUXUYLCNRSQ","extra_0_15_MVZHE33S_KN2HE2LOM4","extra_0_16_OBZG6Z3SMVZXG_MRWG6YLU","extra_0_1_MZZG63K7N5RHGX3FMRUXI33S_MJXW63DFMFXA","extra_0_2_NZXUG33ONZSWG5DJOZUXI6I_MJXW63DFMFXA","extra_0_3_N5RHGZLSOZQXI2LPNZPWSZA_NFXHI","extra_0_4_OJSXG5LMORZQ_KNSXE2LBNRUXUYLCNRSQ","extra_0_5_OVZWK4Q_KNSXE2LBNRUXUYLCNRSQ","extra_0_6_ON4W4Y27MNQW4Y3FNRSWI_MJXW63DFMFXA","extra_0_7_NZ2WY3A_KNSXE2LBNRUXUYLCNRSQ","extra_0_8_NFZV643IMFZGKZC7N5XF6YLQOA_MJXW63DFMFXA","extra_0_9_NFSGK3TUNFTGSY3BORUW63TT_KNSXE2LBNRUXUYLCNRSQ","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","false","false","1","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"identifications_result","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.GET_CONTENT","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","false","1","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"user_details_result","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"updates_results","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NULL#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"android.net.conn.CONNECTIVITY_CHANGE","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"species_count_result","$#NULL#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#EMPTY#$","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","true","true","0","$#NULL#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.PICK","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","true","false","0","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NOTEMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","true","true","1","$#NULL#$","$#NULL#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"user_details_result","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","false","0","$#NOTEMPTY#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.PICK","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","false","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","1","$#NULL#$","$#NULL#$","true","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
