"ACTS Test Suite Generation: Wed Dec 28 18:44:28 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 10"
"Maximum number of values per parameter: 3"
"Number of configurations: 12"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","path","scheme","type"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$"
"$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
