"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 10"
"Maximum number of values per parameter: 4"
"Number of configurations: 10"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","path","scheme","type"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","null","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","null","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","null","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","null","$#EMPTY#$"
