"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 11"
"Maximum number of values per parameter: 4"
"Number of configurations: 39"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ONWXGX3CN5SHS_KN2HE2LOM4","path","scheme","type"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","content","$#NULL#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","true","true","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","content","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","content","$#NULL#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$"
"android.intent.action.SENDTO","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","content","$#EMPTY#$"
