"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 16"
"Maximum number of values per parameter: 4"
"Number of configurations: 43"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_ORXWWZLOL5UW4ZTP_KBQXEY3FNRQWE3DF","extra_0_2_NZQW2ZI_KN2HE2LOM4","extra_0_3_MZUXE43UL52GS3LF_MJXW63DFMFXA","extra_0_4_MVWWC2LM_KN2HE2LOM4","extra_0_5_MNZGKYLUMVPXS5LCNFPWWZLZ_MJXW63DFMFXA","extra_0_6_MFXGI4TPNFSC43TGMMXGK6DUOJQS4VCBI4_KBQXEY3FNRQWE3DF","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","true","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#NULL#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","true","$#NOTEMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","false","$#EMPTY#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","$#NOTEMPTY#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#EMPTY#$","false","$#EMPTY#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","true","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","true","$#EMPTY#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#EMPTY#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","$#EMPTY#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","false","$#NULL#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","false","$#NULL#$","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","true","$#NULL#$","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","false","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","true","$#NULL#$","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.NDEF_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","false","$#NULL#$","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
