"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 12"
"Maximum number of values per parameter: 5"
"Number of configurations: 54"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_N5ZGOLTTOVTGM2LDNFSW45DMPFZWKY3VOJSS423FPFRWQYLJNYXEKWCUKJAV6U2JI5HECVCVKJCV6S2FLFPUSRCT_NRXW4Z2BOJZGC6I","extra_0_2_MFXGI4TPNFSC42LOORSW45BOMV4HI4TBFZJVIUSFIFGQ_KBQXEY3FNRQWE3DF","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","newarray (long)[1]","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.intent.action.SEND_MULTIPLE","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"org.sufficientlysecure.keychain.action.ENCRYPT_DATA","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
"android.intent.action.SEND","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"org.sufficientlysecure.keychain.action.ENCRYPT_DATA","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$"
