"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 15"
"Maximum number of values per parameter: 3"
"Number of configurations: 14"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_1_N5YGK3TQM5YF643LORPWS3TGN4_KBQXEY3FNRQWE3DF","extra_0_2_N5YGK4TBORUW63S7OJSXG5LMOQ_KBQXEY3FNRQWE3DF","extra_0_3_NFXGS5C7MZZGCZY_NFXHI","extra_0_4_ONVWS4C7MZUXE43UL52GS3LF_MJXW63DFMFXA","extra_0_5_MFXGI4TPNFSC43TGMMXGK6DUOJQS4VCBI4_KBQXEY3FNRQWE3DF","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","0","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","0","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","5","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","5","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","5","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","0","true","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","1","true","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#EMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","0","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","1","false","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","true","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","5","false","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
