"ACTS Test Suite Generation: Wed Dec 28 18:44:29 CST 2022"
" '*' represents don't care value "
"Degree of interaction coverage: -1"
"Number of parameters: 20"
"Maximum number of values per parameter: 3"
"Number of configurations: 16"
"action","authority","category","category_EQRU4VKMJQRSI","category_EQRUKTKQKRMSGJA","data","extra","extra_0_10_OJSXG5LMORPWG4TZOB2G6X3JNZYHK5A_KBQXEY3FNRQWE3DF","extra_0_1_NVQXG5DFOJPWWZLZL5UWI_KNSXE2LBNRUXUYLCNRSQ","extra_0_2_NFXHIZLOOQ_KBQXEY3FNRQWE3DF","extra_0_3_ONUWO3TBOR2XEZI_KBQXEY3FNRQWE3DF","extra_0_4_NRUW423FMRPXI4TBNZZWS5DJN5XA_MJXW63DFMFXA","extra_0_5_MRQXIYI_KBQXEY3FNRQWE3DF","extra_0_6_MRUXG4DMMF4V64TFON2WY5A_KBQXEY3FNRQWE3DF","extra_0_7_OJSXG5LMORPWIYLUME_KBQXEY3FNRQWE3DF","extra_0_8_MZUW4Z3FOJYHE2LOOQ_MJ4XIZKBOJZGC6I","extra_0_9_N5YGK4TBORUW63S7OJSXG5LMOQ_KBQXEY3FNRQWE3DF","path","scheme","type"
"$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","false","false","$#EMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","false","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$"
"$#NULL#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NULL#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#EMPTY#$","$#NULL#$"
"$#NULL#$","$#NULL#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#EMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
"android.nfc.action.TAG_DISCOVERED","$#EMPTY#$","$#NOTEMPTY#$","true","true","$#EMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","false","$#NULL#$","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NOTEMPTY#$","$#EMPTY#$","$#EMPTY#$","$#EMPTY#$"
"$#EMPTY#$","$#EMPTY#$","$#EMPTY#$","false","false","$#NOTEMPTY#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#NULL#$","null","true","$#NULL#$","$#NULL#$","$#NOTEMPTY#$","$#NULL#$","$#NULL#$","$#EMPTY#$","$#NOTEMPTY#$","$#EMPTY#$"
